user;Category;Title;description;due_date;estimated_time_in_minutes
1;1;Hilfe am PC, Dateien ordnen etc;Hilfe am PC, Dateien ordnen etc;08.10.2018;60
2;2;Laub einer Kastanie entfernen;Laub einer Kastanie entfernen;07.10.2018;120
3;2;Hilfe im Garten und evtl im Haushalt.;Hilfe im Garten und evtl im Haushalt.;10.10.2018;30
4;2;Hilfe im Garten ;AB HERBST - Hilfe im Garten (Laub harken etc.);12.11.2018;60
5;1;Hilfe am PC und Tablett;Hilfe am PC und Tablett;25.11.2018;30
6;3;Einkaufen, Spazierengehen;2 mal die Woche einkaufen und einmal Spazierengehen;07.10.2018;90
7;2;Hilfe im Garten, evtl. auch Einkäufe.;Hilfe im Garten, evtl. auch Einkäufe.;14.12.2018;20
8;2;Laub harken;Laub harken;12.10.2018;75
9;2;leichte Gartenarbeit ;leichte Gartenarbeit - Unkraut ziehen, Wege säubern;22.10.2018;60
10;2;leichte Gartenarbeit.;leichte Gartenarbeit.;29.11.2018;90
1;2;Rasen mähen;Rasen mähen;21.11.2018;30
2;1;Smartphone erklären;vor allem das Smartphone erklären, womöglich auch den PC-Umgang;25.11.2018;30
3;2;kleine Frühjahrshilfen im Garten;kleine Frühjahrshilfen im Garten;29.11.2018;90
4;2;Unkraut beseitigen im Garten und kleine Hausarbeiten;Unkraut beseitigen im Garten und kleine Hausarbeiten;18.12.2018;120
5;2;Unkraut etc;Unkraut etc;08.10.2018;60
6;2;Rasen mähen, Blumen einpflanzen, Unkraut beseitigen. ;Rasen mähen, Blumen einpflanzen, Unkraut beseitigen. ;23.11.2018;30
7;2;Rasenmähen, Blumenpflege, Einsammeln von Heckenschnitt;Rasenmähen, Blumenpflege, Einsammeln von Heckenschnitt;03.12.2018;60
8;4;Umzugshilfe innerhalb des Hauses;Es sollen aus dem Keller in den 1. Stock über 2 Treppen eine Schlafcouchgarnitur (3 Teile) gebracht werden und anschließend vom 1. Stock ins Erdgeschoss bzw. in die Garage ein Schreibtisch und 2 große Schreibtischstühle. PS: Das Treppenhaus ist mit ...;14.11.2018;120
